epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,188.085,1.62247,1.41887,1.22102,0.74042,0.65143,0.69949,0.37516,1.49487,1.12611,1.24446,0.000476112,0.000476112,0.000476112
2,382.871,1.57224,1.00154,1.20673,0.78262,0.72492,0.76581,0.42228,1.43991,0.97405,1.20215,0.000858154,0.000858154,0.000858154
3,588.825,1.54244,0.93199,1.19633,0.78222,0.72526,0.77195,0.42703,1.42359,0.9506,1.19295,0.00114588,0.00114588,0.00114588
4,767.077,1.51512,0.87726,1.18295,0.81725,0.74818,0.80698,0.45362,1.40539,0.87535,1.18261,0.00100459,0.00100459,0.00100459
5,947.416,1.48725,0.82669,1.16813,0.82017,0.7734,0.81705,0.47133,1.35771,0.85013,1.16215,0.000863116,0.000863116,0.000863116
6,1131.12,1.46408,0.79039,1.15665,0.83999,0.7834,0.83339,0.48487,1.35877,0.82314,1.15875,0.000721645,0.000721645,0.000721645
7,1303.23,1.44334,0.75754,1.14386,0.84641,0.78077,0.84521,0.50051,1.32871,0.7808,1.14214,0.000580174,0.000580174,0.000580174
8,1476.13,1.42163,0.72527,1.13451,0.84961,0.80509,0.8518,0.50544,1.32907,0.76509,1.13936,0.000438703,0.000438703,0.000438703
9,1648.96,1.40257,0.70304,1.12381,0.85775,0.81251,0.86031,0.51604,1.30621,0.74741,1.13097,0.000297232,0.000297232,0.000297232
10,1823.78,1.3819,0.67456,1.11225,0.86067,0.81297,0.86116,0.52459,1.29083,0.72074,1.11731,0.000155761,0.000155761,0.000155761
